Policy,SL(Type1),Fill Rate,Avg Profit,SO Rate,Waste%,p,CR,z,Avg Order
p=0.20,0.2791,0.6855,0.2876,0.7209,16.31,0.2,0.3333333333333333,-0.43072729929545756,0.9753735028513325
p=0.25,0.3527,0.7504,0.3047,0.6473,18.02,0.25,0.3846153846153847,-0.29338123212119316,1.0900471999489685
p=0.30,0.4333,0.8001,0.3115,0.5667,19.84,0.3,0.4285714285714286,-0.18001236979270496,1.1884933233165589
p=0.35,0.5119,0.838,0.3097,0.4881,21.71,0.35,0.4666666666666666,-0.08365173390712922,1.2745140805332844
p=0.40,0.5818,0.8665,0.3005,0.4182,23.6,0.39999999999999997,0.49999999999999994,-1.3914582123358836e-16,1.3504327257096544
p=0.45,0.6424,0.8877,0.2854,0.3576,25.44,0.44999999999999996,0.5294117647058824,0.07379127380827269,1.4177094084344353
p=0.50,0.6919,0.9038,0.2671,0.3081,27.18,0.49999999999999994,0.5555555555555556,0.13971029888186212,1.4778088362736328
p=0.55,0.7335,0.9164,0.2472,0.2665,28.78,0.5499999999999999,0.5789473684210525,0.19920132478926672,1.5320477546224776
p=0.60,0.767,0.9264,0.2265,0.233,30.25,0.5999999999999999,0.6,0.2533471031357997,1.581413325410302
p=0.65,0.7956,0.9345,0.2057,0.2044,31.6,0.6499999999999999,0.6190476190476191,0.30298044805620655,1.6266648385831974
p=0.70,0.8183,0.9411,0.185,0.1817,32.83,0.7,0.6363636363636364,0.3487556955170447,1.6683988626911526
p=0.75,0.8366,0.9466,0.1647,0.1634,33.97,0.7499999999999999,0.6521739130434782,0.39119625818947146,1.7070926014249854
p=0.80,0.8532,0.9513,0.1449,0.1468,35.02,0.7999999999999998,0.6666666666666666,0.43072729929545744,1.7431336828837187
p=0.85,0.8668,0.9552,0.1256,0.1332,35.99,0.8499999999999999,0.68,0.4676987991145084,1.7768411896771132
p=0.90,0.8796,0.9586,0.107,0.1204,36.88,0.8999999999999999,0.6923076923076923,0.5024022233733555,1.808480855762728
p=0.95,0.89,0.9615,0.0888,0.11,37.72,0.9499999999999998,0.7037037037037036,0.5350828150863219,1.8382762731130766
p=1.00,0.8994,0.9641,0.0712,0.1006,38.49,0.9999999999999998,0.7142857142857142,0.5659488219328628,1.8664173044630847
