f,imp
dow_prof,1329800.8663511276
stock_hour6_22_cnt,310777.2652068138
s_ew7,177073.11564731598
store_daily_vol,137619.08925819397
s_ew14,124471.0026216507
cat2_daily_m,117072.59603500366
discount,85952.8894996643
dow_prof_r,64098.34492254257
store_so_rate,42160.060841560364
product_id,41736.9479970932
sp_vs_store,41070.45066404343
sp_s,40971.57848215103
hum_dev,40156.53447961807
st_s,37548.304022312164
third_category_id,36972.60299539566
tr_3_14,36443.8310418129
temp_dev,36129.96767473221
cat2_m,35780.468056201935
avg_temperature,35658.55866575241
store_id,35516.03493595123
l1_m7,35006.86574745178
avg_wind_level,34487.465247154236
soh14,33881.74213933945
st_m,33802.10314941406
avg_humidity,33726.10854387283
tr_7_28,33468.848533153534
pd_s,33212.74773931503
r_d1,32526.0555229187
s_q75_14,32430.44387626648
cv28,31647.044543743134
pd_m,31629.418320178986
m7_m28,31353.26783847809
s_sd14,30927.910140514374
cv7,30440.788148403168
second_category_id,30407.4686088562
r_md7,30319.709085941315
s_sd7,30301.4327545166
s_d7,29978.404403686523
r_l28,29726.57795381546
s_m7,29470.767295837402
r_sd3,29044.49296283722
sp_vs_cat3,28936.068098545074
sp_vs_cat2,28663.407327651978
r_l14,28595.87535715103
r_l21,28562.308530807495
t_p,28226.96199464798
r_l7,28136.540115833282
s_l28,27857.23216676712
precpt,27751.12285757065
r_sd28,27298.082094669342
sp_m,27271.8701338768
s_sd3,27010.043339252472
r_sd14,27002.84535264969
r_sd7,26938.089008808136
r_l5,26623.576251983643
s_sd28,26548.586091518402
dom,26437.702590465546
rec_obs_ratio,26415.27096748352
s_l21,25550.887295246124
s_m3,25520.437962532043
r_l1,24515.514785289764
soh7,24474.730001449585
r_l3,24292.215797424316
r_l2,24144.71559047699
s_l14,24006.35133266449
r_m7,23667.02863931656
d_a,23522.782792568207
r_ew7,23490.300868988037
doy,23324.45706129074
r_mx28,23251.718749523163
r_m3,23053.58476305008
s_d1,22516.02612876892
cat3_m,22443.4386177063
cat3_s,22400.395607471466
dom_sin,21844.52923965454
r_mx7,20291.88242673874
dom_cos,19831.37789964676
r_m14,19658.00590991974
r_m28,19395.835904598236
s_md7,18958.07417201996
first_category_id,18739.242018699646
cluster_id,18360.305686950684
s_mx7,18265.82151222229
s_l7,18240.536630153656
r_md28,18020.136874198914
s_l1,17587.09280204773
r_mn7,17053.35191679001
d_h,16913.143850803375
s_m28,16758.720897197723
cluster_m,16527.37170314789
s_m14,16238.952600479126
cat1_m,15988.957095623016
s_q25_28,14910.687859535217
s_l5,14825.709291934967
dow,14291.167274951935
s_l3,14151.215835571289
r_ew14,14149.426728248596
s_q25_14,14009.842028617859
so1,13842.556830406189
r_mn28,13443.711379528046
cluster_s,13137.956780433655
s_l2,13080.770060539246
city_id,12555.011088371277
s_q75_28,11519.527367591858
s_mx28,11364.512846946716
management_group_id,10994.30799484253
ct_m,10657.882744312286
sor14,10045.78931427002
s_md28,9527.813306331635
ct_s,9134.829125404358
s_mn7,8362.779478549957
dow_sin,8168.434264183044
s_mn28,7911.7400007247925
woy,6401.837859153748
dow_cos,5477.578963279724
holiday_flag,5432.753182411194
sor7,5347.07769203186
activity_flag,4035.856025695801
h_a,2112.195131778717
so7,1183.8031010627747
month,896.0517010688782
wknd,623.0787463188171
woy_sin,460.1122589111328
woy_cos,225.30710124969482
w_h,28.480960369110107
